Objectid,Division,District_name,Dist_Code,"Confirmed_cases 
Upto 05 April","Confirmed_cases 
Upto 06 April","Confirmed_cases 
Upto 07 April",Confirmed_cases Upto 08 April,Confirmed_cases Upto 09 April,Confirmed_cases Upto 11 April,Confirmed_cases Upto 13 April,Confirmed_cases Upto 14 April,Confirmed_cases Upto 15 April,Confirmed_cases Upto 16 April,Confirmed_cases Upto 17 April,Confirmed_cases Upto 18 April,Confirmed_cases Upto 19 April,Confirmed_cases Upto 20 April,Confirmed_cases Upto 21 April,Confirmed_cases Upto 22 April,Confirmed_cases Upto 23 April,"Recovered_cases
Upto 23 April",Confirmed_cases Upto 24 April,Confirmed_cases Upto 25 April,Confirmed_cases Upto 26 April,"Recovered_cases
Upto 26 April",Confirmed_cases Upto 27 April,"Death_cases
Upto 27 April","Recovered_cases
Upto 27 April",Confirmed_cases Upto 28 April,"Death_cases
Upto 28 April","Recovered_cases
Upto 28 April",Confirmed_cases Upto 29 April,"Death_cases
Upto 29 April",Confirmed_cases Upto 30 April,"Death_cases
Upto 30 April",Confirmed_cases Upto 01 May,"Death_cases
Upto 01 May",Confirmed_cases Upto 02 May,"Death_cases
Upto 02 May",Confirmed_cases Upto 03 May,"Death_cases
Upto 03 May",Confirmed_cases Upto 04 May,"Death_cases
Upto 04 May",Confirmed_cases Upto 05 May,"Death_cases
Upto 05 May",Confirmed_cases Upto 06 May,"Death_cases
Upto 06 May",,,,,,,,,,,,
3,Barisal,Barguna,1004,0,0,0,0,0,1,3,3,4,4,5,9,10,12,17,17,20,0,23,23,30,0,30,1,0,30,1,0,30,1,30,1,33,1,33,1,36,1,36,1,33,1,33,1,,,,,,,,,,,,
4,Barisal,Barisal,1006,0,0,0,0,0,0,2,7,10,12,17,18,21,24,32,34,34,0,35,38,38,0,38,0,0,40,0,0,40,0,40,0,40,0,40,0,41,0,41,0,41,0,44,0,,,,,,,,,,,,
5,Barisal,Bhola,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,4,0,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,6,0,,,,,,,,,,,,
23,Barisal,Jhalokati,1042,0,0,0,0,0,0,3,3,3,3,3,3,4,4,4,5,5,0,5,5,5,0,5,0,0,6,0,0,6,0,8,0,8,0,8,0,10,0,10,0,10,0,10,0,,,,,,,,,,,,
51,Barisal,Patuakhali,1078,0,0,0,0,0,1,2,2,2,2,2,2,2,2,7,10,10,0,16,19,20,0,20,1,0,23,1,0,23,1,27,1,28,1,28,1,28,1,28,1,28,1,28,1,,,,,,,,,,,,
52,Barisal,Pirojpur,1079,0,0,0,0,0,0,0,1,4,4,4,4,4,5,5,5,5,0,5,7,7,0,7,0,0,8,0,0,8,0,9,0,9,0,9,0,10,0,10,0,0,0,0,0,,,,,,,,,,,,
2,Chittagong,Bandarban,2003,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,0,4,4,4,0,4,0,0,4,0,0,4,0,4,0,7,0,7,0,7,0,7,0,4,0,4,0,,,,,,,,,,,,
7,Chittagong,Brahmanbaria,2012,0,0,0,0,0,4,6,8,8,8,9,10,11,11,11,24,25,0,25,29,31,0,35,2,0,35,2,0,37,2,40,2,43,2,43,2,44,2,55,2,56,2,56,2,,,,,,,,,,,,
8,Chittagong,Chandpur,2013,0,0,0,0,0,4,6,6,6,7,8,8,8,10,10,10,10,0,10,10,11,0,11,0,0,11,0,0,13,0,14,0,15,0,15,0,15,0,15,0,27,0,37,0,,,,,,,,,,,,
9,Chittagong,Chittagong,2015,1,1,3,3,9,8,18,20,31,36,37,38,39,43,41,42,45,2,45,46,48,1,56,2,2,67,2,2,70,2,74,2,75,2,78,2,80,2,82,2,105,2,112,2,,,,,,,,,,,,
11,Chittagong,Comilla,2019,1,1,2,2,4,8,9,14,14,14,15,17,19,21,25,27,27,1,32,39,41,1,42,4,1,47,4,1,81,4,93,4,99,4,104,4,105,4,105,4,112,4,130,4,,,,,,,,,,,,
12,Chittagong,Cox's Bazar,2022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,6,6,13,1,13,0,1,19,0,1,20,0,23,0,37,0,37,0,37,0,37,0,39,0,40,0,,,,,,,,,,,,
16,Chittagong,Feni,2030,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,0,3,3,4,0,4,0,0,4,0,0,4,0,6,0,6,0,6,0,6,0,6,0,6,0,7,0,,,,,,,,,,,,
26,Chittagong,Khagrachhari,2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,2,0,2,0,2,0,,,,,,,,,,,,
31,Chittagong,Lakshmipur,2051,0,0,0,0,0,0,0,1,1,1,18,18,21,25,25,25,26,0,27,28,28,0,31,1,0,31,1,0,35,1,35,1,41,1,41,1,42,1,43,1,45,1,45,1,,,,,,,,,,,,
48,Chittagong,Noakhali,2075,0,0,0,0,0,0,0,0,1,2,2,3,3,4,4,4,4,0,4,5,5,0,5,1,0,6,1,0,6,1,6,1,9,1,9,1,15,1,17,1,21,1,22,1,,,,,,,,,,,,
55,Chittagong,Rangamati,2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
13,Dhaka,Dhaka,3026,54,64,90,129,209,270,401,484,546,636,768,877,1014,1216,1277,1522,1736,69,2124,2299,2564,77,2802,79,77,3095,82,77,3518,88,3850,92,4082,93,4419,98,4609,98,4895,101,5357,101,5842,103,,,,,,,,,,,,
15,Dhaka,Faridpur,3029,0,0,0,0,0,0,0,2,2,2,9,4,4,6,5,6,7,0,8,9,9,0,9,0,0,9,0,0,12,0,12,0,13,0,13,0,13,0,14,0,15,0,21,0,,,,,,,,,,,,
18,Dhaka,Gazipur,3033,1,1,1,1,2,12,35,53,53,98,117,161,173,269,269,269,292,1,294,261,308,1,315,0,1,318,0,1,320,0,322,0,322,0,322,0,324,0,325,0,326,0,328,0,,,,,,,,,,,,
19,Dhaka,Gopalganj,3035,0,0,0,0,0,2,3,9,9,17,17,21,21,30,30,35,40,0,43,46,49,0,50,0,0,50,0,0,52,0,45,0,45,0,45,0,45,0,47,0,44,0,45,0,,,,,,,,,,,,
